CID,TABCD,LCD,CLASS,TCD,STCD,JUNCTIONNUMBER,RNID,N1ID,N2ID,POL_LCD,OTH_LCD,SEG_LCD,ROA_LCD,INPOS,INNEG,OUTPOS,OUTNEG,PRESENTPOS,PRESENTNEG,DIVERSIONPOS,DIVERSIONNEG,XCOORD,YCOORD,INTERRUPTSROAD,URBAN,JNID
25,1,26209,P,1,11,,,2791,,14388,,,26208,1,1,1,1,1,1,,,896056,3962321,,0,
25,1,6424,P,1,11,,46035,66947,,4,,,424,1,1,1,1,1,1,,,1337834,4236050,,0,
25,1,16216,P,1,11,,,26439,,71,,,16211,1,1,1,1,1,1,,,821424,4483527,,0,
25,1,8983,P,1,11,,26255,11803,,52,,,633,1,1,1,1,1,1,,,982347,4537069,,0,
25,1,24817,P,1,11,,,30889,,81,,,24812,1,1,1,1,1,1,,,1798911,4014639,,0,
25,1,42143,P,1,11,,48329,5387,,8,,,826,1,1,1,1,1,1,,,1617412,4059903,,0,
25,1,30861,P,1,11,,76785,56503,,27,,,30853,1,1,1,1,1,1,,,979121,4491338,,0,
25,1,18187,P,1,11,,15735,67565,,41883,,,18186,1,1,1,1,1,1,,,1136939,4434402,,0,
25,1,20681,P,1,11,,51667,48295,,52,,,20676,1,1,1,1,1,1,,,991505,4519686,,0,
25,1,31628,P,1,11,,,11489,,9,,,31627,1,1,1,1,1,1,,,1554233,4074656,,0,
25,1,26745,P,1,11,,5085,64699,,41884,,,26738,1,1,1,1,1,1,,,902479,4552430,,0,
25,1,20128,P,1,11,,,39647,,41880,,,20124,1,1,1,1,1,1,,,1455560,4210566,,0,
25,1,21845,P,1,11,,18309,24079,,41888,,,21844,1,1,1,1,1,1,,,1084474,4355908,,0,
25,1,24894,P,1,11,,,25383,,81,,,24891,1,1,1,1,1,1,,,1831359,4030694,,0,
25,1,24900,P,1,11,,,73717,,81,,,24898,1,1,1,1,1,1,,,1851336,4010554,,0,
25,1,21223,P,1,11,,,68065,,74,,,21205,1,1,1,1,1,1,,,798961,4479665,,0,
25,1,34858,P,1,11,,52589,9407,,57,,,34848,1,1,1,1,1,1,,,1034931,4633399,,0,
25,1,41510,P,1,11,,9553,71599,,41871,,,41507,1,1,1,1,1,1,,,919548,3922374,,0,
25,1,28798,P,1,11,,,3873,,41887,,,28797,1,1,1,1,1,1,,,1394752,3792319,,0,
25,1,24573,P,1,11,,,27263,,46,,,24570,1,1,1,1,1,1,,,969301,4421132,,0,
25,1,33292,P,1,11,,15163,66205,,41864,,,33289,1,1,1,1,1,1,,,1255627,4182032,,0,
25,1,12234,P,1,11,,7761,11065,,33,,,977,1,1,1,1,1,1,,,1283654,4615963,,0,
25,1,18156,P,1,11,,53613,64991,,41883,,,18152,1,1,1,1,1,1,,,1112315,4436834,,0,
25,1,34234,P,1,11,,,34167,,87,,,34232,1,1,1,1,1,1,,,850747,4081759,,0,
25,1,14228,P,1,3,,6033,15293,,41884,,,14045,1,1,1,1,1,1,,,908545,4551555,,0,
25,1,18469,P,1,11,,72505,31243,,110,,,18465,1,1,1,1,1,1,,,1145438,4653990,,0,
25,1,20490,P,1,11,,,41337,,12,,,20483,1,1,1,1,1,1,,,1613028,3940182,,0,
